title,channelTitle,category,channel_country,publishedAt,duration,view_count,likes,comment_count,engagement_rate
2025 GRAMMY Nominations: Watch Live Here,Recording Academy / GRAMMYs,Music,US,2024-11-08T16:40:56Z,18.77,392177,11265,2220,0.0343849843310546
"NHL Highlights | Canadiens vs. Sabres - November 11, 2024",NHL,Sports,US,2024-11-11T20:29:19Z,10.2,124152,1065,196,0.010156904439719
Phil Salt Hits 103* off 54 Balls | Highlights | West Indies v England | 1st T20I,Windies Cricket,Sports,AG,2024-11-10T00:53:54Z,14.0,1295332,18520,434,0.0146325420818755
Genshin Impact Version 5.2 Special Program #GenshinImpact #NewVersion #SpecialProgram,Genshin Impact,Gaming,US,2024-11-08T12:00:07Z,36.2,1284191,61164,4336,0.0510048738855824
"I 3D Printed a $1,175 Chair",Morley Kert,Howto & Style,Unknown,2024-11-07T15:04:22Z,16.52,2218977,61509,2931,0.029040409161519
Suspiciously Slow | Ep. 4 | Wild Life,LDShadowLady,Gaming,GB,2024-11-09T15:38:24Z,19.23,569715,40233,1992,0.0741160053711066
Hammer Jam Film: A New Character appears!,Clash of Clans,Gaming,Unknown,2024-11-07T12:00:19Z,1.43,3367649,91254,3411,0.0281101148011565
Blockbuster QB Trades - Which Was The Worst? (since 2000),KTO,Sports,US,2024-11-07T22:01:27Z,36.23,220078,6951,535,0.0340152127881932
BIG NEWS!,jschlattLIVE,Entertainment,US,2024-11-07T16:30:03Z,1.13,1435651,155432,5061,0.1117910968612845
THE POWER SYSTEMS! | Real Life Power Armor (Part 2/6),Hacksmith Industries,Science & Technology,CA,2024-11-07T21:00:28Z,29.53,1039381,54816,2489,0.0551337767382701
Take All My Money Supercell 🙏,SnakeThug - Brawl Stars,Gaming,DE,2024-11-07T19:26:52Z,30.32,1499219,71253,2400,0.0491275790928476
MISS GRAND INTERNATIONAL 2024  GRAND FINAL,GrandTV,Entertainment,TH,2024-10-25T15:44:42Z,216.0,16111931,334950,7374,0.0212466153187969
GARNACHO WONDER GOAL! UGARTE SUPERB! MANCHESTER UNITED 3-0 LEICESTER GOLDBRIDGE MATCH REACTION,The United Stand,Sports,GB,2024-11-10T16:27:40Z,25.15,266071,7485,430,0.029747698922468
Triangle Indian community speaks on Usha Vance making history,CBS 17,News & Politics,US,2024-11-07T04:24:19Z,2.18,372283,6515,2126,0.0232108369170765
Yungeen Ace - Used To This (Official Music Video),Yungeen Ace,Music,US,2024-11-06T21:00:07Z,2.9,717071,37085,1725,0.0541229529572385
Australia v Pakistan | Second ODI | ODI Series 2024-25,cricket.com.au,Sports,AU,2024-11-08T10:01:03Z,8.08,4693261,82365,4418,0.0184909810044657
The M4 Mac Mini is Incredible!,Marques Brownlee,Science & Technology,US,2024-11-07T14:00:39Z,11.75,4808354,151941,7710,0.0332028382269691
Dead by Daylight | Doomed Course | Official Trailer,Dead by Daylight,Gaming,CA,2024-11-07T16:30:05Z,0.72,361993,22035,2593,0.0680344647548433
12 Dumb Mistakes You Made in Pokémon,MandJTV,Gaming,US,2024-11-07T13:15:03Z,28.72,415727,21486,5402,0.0646770597050468
I Found Rarest Secret Rooms In Minecraft,PrestonPlayz,Gaming,US,2024-11-07T13:00:37Z,24.42,1321004,30309,3706,0.025749354279018
Eddsworld - Pinheads,Eddsworld,Film & Animation,GB,2024-11-07T17:10:28Z,6.75,643825,74713,6197,0.1256707956354599
11/07/24: President Biden Addresses the Nation,The White House,News & Politics,US,2024-11-07T16:34:23Z,7.18,136205,2730,0,0.0200433170588451
Stranger Things 5 | Title Tease | Netflix,Stranger Things,Entertainment,US,2024-11-06T14:00:00Z,1.05,3373659,130574,5844,0.0404362148041636
Kamala Harris supporters react to Trump winning the 2024 election,Associated Press,News & Politics,US,2024-11-07T02:00:27Z,1.63,1061171,6545,7918,0.0136292831221358
M4 Mac Mini Review - Apple NAILED It.,Dave2D,Science & Technology,CA,2024-11-07T14:00:49Z,10.58,746675,23015,1487,0.0328148123346837
Yailin La Mas Viral - Bing Bong (Video Oficial),Yailin La Mas Viral,Music,DO,2024-11-06T00:00:06Z,2.07,5531309,199822,25570,0.040748401508576
MultiVersus - Official Raven “Too Dark to Care” Gameplay Trailer,MultiVersus,Gaming,Unknown,2024-11-07T13:55:26Z,1.3,439726,19663,2233,0.0497946448470183
Apex Legends: From the Rift Launch Trailer,Apex Legends,Gaming,US,2024-11-07T16:00:06Z,1.27,337887,13067,1082,0.041874946357806
HIGHLIGHTS | ENGLAND V NEW ZEALAND | AUTUMN NATIONS SERIES 2024,Autumn Nations Series,Sports,Unknown,2024-11-02T17:39:56Z,7.68,716427,6311,1739,0.0112363157725769
Which Mario Odyssey Capture Survives The Longest?,RedFalcon,Gaming,US,2024-11-06T23:09:13Z,39.65,500961,12123,1087,0.0263693181704763
ATEEZ(에이티즈) - [GOLDEN HOUR : Part.2] Preview,KQ ENTERTAINMENT,Music,Unknown,2024-11-07T15:00:00Z,2.87,388133,60391,3583,0.1648249440269186
